Object_Name,X,Y,Z
Curve,0.2898,-0.0228,0.685
Curve,0.2857,-0.0228,0.695
Curve,0.2816,-0.0228,0.7049
Curve,0.2778,-0.0228,0.715
Curve,0.274,-0.0228,0.725
Curve,0.2703,-0.0228,0.7352
Curve,0.2668,-0.0228,0.7454
Curve,0.2634,-0.0228,0.7557
Curve,0.2601,-0.0228,0.766
Curve,0.257,-0.0228,0.7763
Curve,0.2539,-0.0228,0.7868
Curve,0.251,-0.0228,0.7972
Curve,0.2483,-0.0228,0.8078
Curve,0.2456,-0.0228,0.8183
Curve,0.2431,-0.0228,0.829
Curve,0.2407,-0.0228,0.8396
Curve,0.2384,-0.0228,0.8504
Curve,0.2363,-0.0228,0.8611
Curve,0.2343,-0.0228,0.872
Curve,0.2324,-0.0228,0.8828
Curve,0.2307,-0.0228,0.8937
Curve,0.2291,-0.0228,0.9047
Curve,0.2276,-0.0228,0.9157
Curve,0.2263,-0.0228,0.9267
Curve,0.2251,-0.0228,0.9378
Curve,0.224,-0.0228,0.9489
Curve,0.2231,-0.0228,0.9601
Curve,0.2223,-0.0228,0.9713
Curve,0.2217,-0.0228,0.9825
Curve,0.2212,-0.0228,0.9938
Curve,0.2208,-0.0228,1.0051
Curve,0.2206,-0.0228,1.0164
Curve.001,1.0366,0.0,1.7431
Curve.001,1.0367,0.0,1.7444
Curve.001,1.037,0.0,1.7457
Curve.001,1.0374,0.0,1.7469
Curve.001,1.038,0.0,1.748
Curve.001,1.0387,0.0,1.7491
Curve.001,1.0395,0.0,1.75
Curve.001,1.0405,0.0,1.7509
Curve.001,1.0415,0.0,1.7516
Curve.001,1.0427,0.0,1.7522
Curve.001,1.0439,0.0,1.7526
Curve.001,1.0452,0.0,1.7529
Curve.001,1.0465,0.0,1.7529
Curve.001,1.0479,0.0,1.7529
Curve.001,1.0491,0.0,1.7526
Curve.001,1.0504,0.0,1.7522
Curve.001,1.0515,0.0,1.7516
Curve.001,1.0526,0.0,1.7509
Curve.001,1.0535,0.0,1.75
Curve.001,1.0543,0.0,1.7491
Curve.001,1.0551,0.0,1.748
Curve.001,1.0556,0.0,1.7469
Curve.001,1.056,0.0,1.7457
Curve.001,1.0563,0.0,1.7444
Curve.001,1.0564,0.0,1.7431
Curve.001,1.0563,0.0,1.7417
Curve.001,1.056,0.0,1.7404
Curve.001,1.0556,0.0,1.7392
Curve.001,1.0551,0.0,1.7381
Curve.001,1.0543,0.0,1.737
Curve.001,1.0535,0.0,1.7361
Curve.001,1.0526,0.0,1.7353
Curve.001,1.0515,0.0,1.7345
Curve.001,1.0504,0.0,1.734
Curve.001,1.0491,0.0,1.7335
Curve.001,1.0479,0.0,1.7333
Curve.001,1.0465,0.0,1.7332
Curve.001,1.0452,0.0,1.7333
Curve.001,1.0439,0.0,1.7335
Curve.001,1.0427,0.0,1.734
Curve.001,1.0415,0.0,1.7345
Curve.001,1.0405,0.0,1.7353
Curve.001,1.0395,0.0,1.7361
