x,y,z,pen,layer
1.71156,0.80409,0,1,0
1.71093,0.80346,0,1,0
1.71023,0.80291,0,1,0
1.70946,0.80244,0,1,0
1.70863,0.80206,0,1,0
1.70776,0.80178,0,1,0
1.70685,0.80161,0,1,0
1.70589,0.80155,0,1,0
1.70494,0.80161,0,1,0
1.70403,0.80178,0,1,0
1.70316,0.80206,0,1,0
1.70233,0.80243,0,1,0
1.70156,0.80291,0,1,0
1.70086,0.80346,0,1,0
1.70023,0.80409,0,1,0
1.69967,0.80480,0,1,0
1.69920,0.80556,0,1,0
1.69882,0.80639,0,1,0
1.69854,0.80726,0,1,0
1.69837,0.80818,0,1,0
1.69831,0.80913,0,1,0
0.78130,1.52581,0,0,0
0.78136,1.52676,0,1,0
0.78153,1.52767,0,1,0
0.78181,1.52854,0,1,0
0.78219,1.52937,0,1,0
0.78266,1.53013,0,1,0
0.78321,1.53083,0,1,0
0.78384,1.53146,0,1,0
0.78455,1.53202,0,1,0
0.78531,1.53248,0,1,0
0.78613,1.53286,0,1,0
0.78700,1.53314,0,1,0
0.78792,1.53331,0,1,0
0.78886,1.53337,0,1,0
0.78981,1.53331,0,1,0
0.79072,1.53314,0,1,0
0.79159,1.53286,0,1,0
0.79242,1.53249,0,1,0
0.79318,1.53202,0,1,0
0.79388,1.53146,0,1,0
0.79451,1.53083,0,1,0
0.79507,1.53013,0,1,0
0.79554,1.52937,0,1,0
0.79591,1.52854,0,1,0
0.79619,1.52767,0,1,0
0.79636,1.52676,0,1,0
0.79642,1.52581,0,1,0
0.79636,1.52487,0,1,0
0.79619,1.52395,0,1,0
0.79591,1.52308,0,1,0
0.79554,1.52226,0,1,0
0.79507,1.52150,0,1,0
0.79451,1.52079,0,1,0
0.79388,1.52016,0,1,0
0.79318,1.51961,0,1,0
0.79242,1.51914,0,1,0
0.79159,1.51876,0,1,0
0.79072,1.51849,0,1,0
0.78981,1.51831,0,1,0
0.78886,1.51826,0,1,0
0.78792,1.51831,0,1,0
0.78700,1.51849,0,1,0
0.78613,1.51876,0,1,0
0.78531,1.51914,0,1,0
0.78455,1.51961,0,1,0
0.78384,1.52016,0,1,0
0.78321,1.52079,0,1,0
0.78266,1.52150,0,1,0
0.78219,1.52226,0,1,0
0.78181,1.52308,0,1,0
0.78154,1.52395,0,1,0
0.78136,1.52487,0,1,0
0.78130,1.52581,0,1,0
0.98722,1.67701,0,0,0
0.98728,1.67796,0,1,0
0.98745,1.67887,0,1,0
0.98773,1.67974,0,1,0
0.98810,1.68056,0,1,0
0.98857,1.68133,0,1,0
0.98913,1.68203,0,1,0
0.98976,1.68266,0,1,0
0.99046,1.68321,0,1,0
0.99122,1.68368,0,1,0
0.99204,1.68406,0,1,0
0.99292,1.68434,0,1,0
0.99383,1.68451,0,1,0
0.99478,1.68457,0,1,0
0.99572,1.68451,0,1,0
0.99664,1.68434,0,1,0
0.99751,1.68406,0,1,0
0.99833,1.68368,0,1,0
0.99909,1.68321,0,1,0
0.99980,1.68266,0,1,0
1.00043,1.68203,0,1,0
1.00098,1.68133,0,1,0
1.00145,1.68056,0,1,0
1.00183,1.67974,0,1,0
1.00210,1.67887,0,1,0
1.00228,1.67796,0,1,0
